name,gender,language
Montserrat,F,en
Anabella,F,en
Malayah,F,en
Saniyah,F,en
Dani,F,en
Sharon,F,en
Raylynn,F,en
Sally,F,en
Addalyn,F,en
Aubrianna,F,en
Giavanna,F,en
Kensington,F,en
Sailor,F,en
Alianna,F,en
Ciara,F,en
Mollie,F,en
Mercedes,F,en
Micaela,F,en
Nailah,F,en
Promise,F,en
Shayla,F,en
Tabitha,F,en
Mattie,F,en
Moriah,F,en
Libby,F,en
Lincoln,F,en
Audriana,F,en
Kamilah,F,en
Lilyanna,F,en
Zola,F,en
Aimee,F,en
Carina,F,en
Jasmin,F,en
Jaylin,F,en
Margo,F,en
Arlette,F,en
Queen,F,en
Robyn,F,en
Valery,F,en
Jenesis,F,en
Anniston,F,en
Devyn,F,en
Elia,F,en
Lilia,F,en
Aislinn,F,en
Anais,F,en
Brynleigh,F,en
Cambria,F,en
Natalee,F,en
Cindy,F,en
Ila,F,en
Indie,F,en
Ayanna,F,en
Jovie,F,en
Wendy,F,en
Marcella,F,en
Caitlyn,F,en
Diya,F,en
Emmalee,F,en
Haisley,F,en
Luisa,F,en
Neveah,F,en
Aliah,F,en
Ayva,F,en
Elin,F,en
Kataleya,F,en
Araceli,F,en
Arden,F,en
Evalynn,F,en
Loretta,F,en
Milah,F,en
Amya,F,en
Diamond,F,en
Dixie,F,en
Sidney,F,en
Ayana,F,en
Alissa,F,en
Flora,F,en
Freyja,F,en
Kinzley,F,en
Persephone,F,en
Journi,F,en
Kristen,F,en
Campbell,F,en
Harlyn,F,en
Heather,F,en
Kyndall,F,en
Theresa,F,en
Vivien,F,en
Arleth,F,en
Denver,F,en
Preslee,F,en
Samiyah,F,en
Brynley,F,en
Carlie,F,en
Alaysia,F,en
Beatrix,F,en
Fallon,F,en
Kasey,F,en
Keily,F,en
Leela,F,en
Sherlyn,F,en
Denise,F,en
Jordynn,F,en
Lindsay,F,en
Natalya,F,en
Angeline,F,en
Blessing,F,en
Janae,F,en
Selina,F,en
Ally,F,en
Briley,F,en
Nathaly,F,en
Shanaya,F,en
Evelina,F,en
Tamia,F,en
Maylee,F,en
Adilene,F,en
Austyn,F,en
Berkley,F,en
Ellery,F,en
Harriet,F,en
Kayden,F,en
Cordelia,F,en
Cristina,F,en
Kamille,F,en
Malka,F,en
Addelyn,F,en
Elina,F,en
Viola,F,en
Asha,F,en
Lianna,F,en
Mireya,F,en
Prisha,F,en
Aryana,F,en
Rita,F,en
Ezra,F,en
Honesty,F,en
Julianne,F,en
Larissa,F,en
Makena,F,en
Milania,F,en
Zayla,F,en
Drew,F,en
Karma,F,en
Leilah,F,en
Seraphina,F,en
Maddie,F,en
Salem,F,en
Zora,F,en
Amiah,F,en
Annelise,F,en
Emiliana,F,en
Violette,F,en
Zoya,F,en
Tess,F,en
Finnley,F,en
Krystal,F,en
Mika,F,en
Noel,F,en
Macey,F,en
Leilany,F,en
Rylynn,F,en
Siya,F,en
Taryn,F,en
Aarya,F,en
Blayke,F,en
Kaelynn,F,en
Leena,F,en
Lesly,F,en
Rosalind,F,en
Addalynn,F,en
Agnes,F,en
Annette,F,en
Ireland,F,en
Jocelynn,F,en
Zaya,F,en
Eisley,F,en
Taya,F,en
Celina,F,en
Marceline,F,en
Nyomi,F,en
Vayda,F,en
Adalee,F,en
America,F,en
Bayleigh,F,en
Brayleigh,F,en
Jaida,F,en
Katrina,F,en
Lenora,F,en
Ashton,F,en
Carson,F,en
Charity,F,en
Nellie,F,en
Yasmine,F,en
Carsyn,F,en
Ivana,F,en
Karmen,F,en
Marlene,F,en
Guinevere,F,en
Cambrie,F,en
Izabelle,F,en
Londynn,F,en
Marian,F,en
Maura,F,en
Sanaa,F,en
Temperance,F,en
Alex,F,en
Bryanna,F,en
Cecily,F,en
Keilani,F,en
Kinsleigh,F,en
Maisyn,F,en
Regan,F,en
Roxanne,F,en
Malak,F,en
Rayleigh,F,en
Addie,F,en
Tania,F,en
Anita,F,en
Charlize,F,en
Elayna,F,en
Adela,F,en
Janiya,F,en
